common_name,scientific_name,scientific_name_url,status,esa_listing_date,publication_date,publication_page,geo,proposed_rule_economic_costs,proposed_rule_national_security,proposed_rule_other_exclusions,final_rule_economic_exclusions,final_rule_national_security,final_rule_other_exclusions
No common name,Neraudia angulata,https://ecos.fws.gov/ecp/species/2750,Endangered,10-29-1991,09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
Alani,Melicope paniculata,https://ecos.fws.gov/ecp/species/7436,Endangered,05-13-2010,04-13-2010,75 FR 18960 19165,HI,0,0,0,0,0,0
Haha,Cyanea pinnatifida,https://ecos.fws.gov/ecp/species/6397,Endangered,10-29-1991,09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
Asplenium-leaved diellia,Asplenium dielerectum,https://ecos.fws.gov/ecp/species/7361,Endangered,11-10-1994,03-30-2016,81 FR 17789 18110,HI,0,0,1,0,0,1
Ha`iwale,Cyrtandra sessilis,https://ecos.fws.gov/ecp/species/3591,Endangered,"08/02/2011	",09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
No common name,Delissea undulata,https://ecos.fws.gov/ecp/species/1565,Endangered,10-10-1996,07-02-2003,68 FR 39623 39672,HI,0,0,0,0,0,1
Alani,Melicope ovalis,https://ecos.fws.gov/ecp/species/6401,Endangered,12-05-1994,03-30-2016,81 FR 17789 18110,HI,0,0,0,0,0,0
Mahoe,Alectryon macrococcus,https://ecos.fws.gov/ecp/species/2446,Endangered,05-15-1992,03-30-2016,81 FR 17789 18110,HI,0,0,1,0,0,1
Ko`oko`olau,Bidens campylotheca ssp. Waihoiensis,https://ecos.fws.gov/ecp/species/6450,Endangered,06-27-2013,03-30-2016,81 FR 17789 18110,HI,0,0,1,0,0,1
`Awikiwiki,Canavalia napaliensis,https://ecos.fws.gov/ecp/species/1325,Endangered,05-13-2010,04-13-2010,75 FR 18960 19165,HI,0,0,0,0,0,0
haha,Cyanea dunbariae,https://ecos.fws.gov/ecp/species/5244,Endangered,10-10-1996,03-30-2016,81 FR 17789 18110,HI,0,0,1,0,0,1
Haha,Cyanea eleeleensis,https://ecos.fws.gov/ecp/species/2166,Endangered,05-13-2010,04-13-2010,75 FR 18960 19165,HI,0,0,0,0,0,0
haha,Cyanea gibsonii,https://ecos.fws.gov/ecp/species/4024,Endangered,09-20-1991,03-30-2016,81 FR 17789 18110,HI,0,0,0,0,0,1
Mapele,Cyrtandra cyaneoides,https://ecos.fws.gov/ecp/species/4026,Endangered,10-10-1996,02-27-2003,68 FR 9116 9479,HI,0,0,0,0,0,0
`Akoko,Euphorbia deppeana/Chamaesyce deppeana,https://ecos.fws.gov/ecp/species/6446,Endangered,03-28-1994,09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
No common name,Gouania meyenii,https://ecos.fws.gov/ecp/species/3893,Endangered,10-29-1991,09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
No common name,Hesperomannia lydgatei,https://ecos.fws.gov/ecp/species/1653,Endangered,09-20-1991,02-27-2003,68 FR 9116 9479,HI,0,0,0,0,0,0
No common name,Lobelia koolauensis,https://ecos.fws.gov/ecp/species/2846,Endangered,10-10-1996,09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
No common name,Lysimachia lydgatei,https://ecos.fws.gov/ecp/species/4684,Endangered,05-15-1992,03-30-2016,81 FR 17789 18110,HI,0,0,1,0,0,1
No common name,Neraudia ovata,https://ecos.fws.gov/ecp/species/3669,Endangered,10-10-1996,07-02-2003,68 FR 39623 39672,HI,0,0,0,1,1,1
Newcomb's Tree snail,Newcombia cumingi,https://ecos.fws.gov/ecp/species/1529,Endangered,06-27-2013,03-30-2016,81 FR 17789 18110,HI,0,0,0,0,0,1
No common name,Phyllostegia pilosa,https://ecos.fws.gov/ecp/species/9246,Endangered,06-27-2013,03-30-2016,81 FR 17789 18110,HI,0,0,1,0,0,1
Hala pepe,Pleomele hawaiiensis,https://ecos.fws.gov/ecp/species/2910,Endangered,10-10-1996,07-02-2003,68 FR 39623 39672,HI,0,0,0,0,0,1
No common name,Polyscias lydgatei,https://ecos.fws.gov/ecp/species/2751,Endangered,10-18-2012,09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
Wahane,Pritchardia aylmer-robinsonii,https://ecos.fws.gov/ecp/species/848,Endangered,08-07-1996,02-27-2003,68 FR 9116 9479,HI,0,0,0,0,0,0
Lo`ulu,Pritchardia viscosa,https://ecos.fws.gov/ecp/species/7992,Endangered,10-10-1996,02-27-2003,68 FR 9116 9479,HI,0,0,0,0,0,0
No common name,Silene hawaiiensis,https://ecos.fws.gov/ecp/species/4189,Threatened,03-04-1994,07-02-2003,68 FR 39623 39672,HI,0,0,0,0,1,0
No common name,Silene lanceolata,https://ecos.fws.gov/ecp/species/5746,Endangered,10-08-1992,03-30-2016,81 FR 17789 18110,HI,0,0,0,0,0,0
